user_ID,total_messages,profane_messages,avg_angry_score,avg_happy_score,avg_sad_score,avg_surprised_score,avg_fear_score
Brice,87,0,0.03850574712643677,0.04436781609195404,0.1396551724137931,0.18747126436781616,0.32528735632183914
Lakendra,163,1,0.020429447852760727,0.032147239263803674,0.1447852760736196,0.19386503067484662,0.2954601226993864
Hue,2,0,0.165,0.25,0.165,0.165,0.25
Ronni,1,0,0,0,0,0,0
Porsha,2780,2,0.03755395683453241,0.07417985611510795,0.17480215827338122,0.19902877697841737,0.3630719424460433
Cheryl,116,0,0.020344827586206895,0.1566379310344827,0.12060344827586203,0.15732758620689657,0.33732758620689657
Melissa,369,1,0.03991869918699184,0.04560975609756097,0.19585365853658535,0.19048780487804892,0.36230352303523033
Kasie,100,0,0.0281,0.13249999999999998,0.13740000000000005,0.1776,0.3842000000000001
Stacee,8,0,0.0,0.042499999999999996,0.14625,0.22999999999999998,0.58125
Miguel,890,1,0.02951685393258425,0.04420224719101119,0.1812471910112361,0.15852808988764078,0.32882022471910133
Aiko,4,0,0.25,0.045,0.33999999999999997,0.045,0.3175
Raquel,78,0,0.04538461538461537,0.05435897435897436,0.25653846153846166,0.11692307692307691,0.3724358974358975
Raymundo,6,0,0.0,0.3466666666666667,0.12500000000000003,0.16666666666666666,0.36166666666666664
Valentine,25,0,0.053200000000000004,0.20400000000000001,0.1044,0.17880000000000001,0.3384000000000001
Gene,619,0,0.03240710823909535,0.05264943457189011,0.14516962843295625,0.13353796445880464,0.36127625201938635
Dominga,170,0,0.03588235294117647,0.09147058823529412,0.1467647058823529,0.15905882352941178,0.34276470588235286
Wonda,2,0,0.0,0.0,0.25,0.75,0.0
Dian,86,0,0.038023255813953466,0.07837209302325583,0.23930232558139536,0.22616279069767437,0.3016279069767442
Althea,585,4,0.03700854700854699,0.06852991452991444,0.17702564102564108,0.19449572649572663,0.31864957264957283
Irma,223,0,0.041838565022421496,0.0848430493273542,0.150269058295964,0.15286995515695082,0.3455605381165919
Serafina,30,0,0.04,0.053999999999999986,0.14533333333333334,0.138,0.4559999999999999
Janel,22,0,0.009090909090909089,0.09227272727272727,0.17681818181818185,0.12818181818181817,0.365
Krissy,415,2,0.04867469879518073,0.06698795180722891,0.21575903614457834,0.1886506024096385,0.2934939759036145
Deandrea,44,0,0.02954545454545454,0.07795454545454544,0.14409090909090908,0.18386363636363645,0.4038636363636364
