Profanity Golden Set Results

######################################################
#  Our results show we have a highly accurate script #
#  to identify vulgar and profane phrases by using   #
#  a combination of NLP and physical blacklists      #
#                                                    #
#           Accuracy: 106/107 ==> 99.0%              #
######################################################

1 : False (Expected False)
2 : False (Expected False)
3 : False (Expected False)
4 : False (Expected False)
5 : False (Expected False)
6 : False (Expected False)
7 : False (Expected False)
8 : False (Expected False)
9 : False (Expected False)
10 : False (Expected False)
11 : False (Expected False)
12 : False (Expected False)
13 : False (Expected False)
14 : False (Expected False)
15 : False (Expected False)
16 : False (Expected False)
17 : False (Expected False)
18 : False (Expected False)
19 : False (Expected False)
20 : False (Expected False)
21 : False (Expected False)
22 : False (Expected False)
23 : False (Expected False)
24 : False (Expected False)
25 : False (Expected False)
26 : False (Expected False)
27 : False (Expected False)
28 : False (Expected False)
29 : False (Expected False)
30 : False (Expected False)
31 : False (Expected False)
32 : False (Expected False)
33 : False (Expected False)
34 : False (Expected False)
35 : False (Expected False)
36 : False (Expected False)
37 : False (Expected False)
38 : False (Expected False)
39 : False (Expected False)
40 : False (Expected False)
41 : False (Expected False)
42 : False (Expected False)
43 : False (Expected False)
44 : False (Expected False)
45 : False (Expected False)
46 : False (Expected False)
47 : False (Expected False)
48 : False (Expected False)
49 : False (Expected False)
50 : False (Expected False)
51 : True (Expected True)
52 : True (Expected True)
53 : True (Expected True)
54 : True (Expected True)
55 : True (Expected True)
56 : True (Expected True)
57 : True (Expected True)
58 : True (Expected True)
59 : True (Expected True)
60 : True (Expected True)
61 : True (Expected True)
62 : True (Expected True)
63 : True (Expected True)
64 : True (Expected True)
65 : True (Expected True)
66 : True (Expected True)
67 : True (Expected True)
68 : True (Expected True)
69 : True (Expected True)
70 : True (Expected True)
71 : True (Expected True)
72 : True (Expected True)
73 : True (Expected True)
74 : True (Expected True)
75 : False (Expected True)
76 : True (Expected True)
77 : True (Expected True)
78 : True (Expected True)
79 : True (Expected True)
80 : True (Expected True)
81 : True (Expected True)
82 : True (Expected True)
83 : True (Expected True)
84 : True (Expected True)
85 : True (Expected True)
86 : True (Expected True)
87 : True (Expected True)
88 : True (Expected True)
89 : True (Expected True)
90 : True (Expected True)
91 : True (Expected True)
92 : True (Expected True)
93 : True (Expected True)
94 : True (Expected True)
95 : True (Expected True)
96 : True (Expected True)
97 : True (Expected True)
98 : True (Expected True)
99 : True (Expected True)
100 : True (Expected True)
101 : True (Expected True)
102 : True (Expected True)
103 : True (Expected True)
104 : True (Expected True)
105 : True (Expected True)
106 : True (Expected True)
107 : True (Expected True)
