user_ID,total_messages,profane_messages,avg_angry_score,avg_happy_score,avg_sad_score,avg_surprised_score,avg_fear_score
,,,,,,,
Kandra,1,0,0,0,0,0,0
,,,,,,,
Nevada,2,0,0,0.05,0.1,0.05,0.8
,,,,,,,
Sharolyn,28,0,0.029642857,0.078571429,0.242857143,0.161785714,0.236785714
,,,,,,,
Rubie,28,0,0.008928571,0.068571429,0.180357143,0.194642857,0.3325
,,,,,,,
Raven,62,0,0.053870968,0.025483871,0.169032258,0.19516129,0.378709677
,,,,,,,
Carmel,3,0,0,0.333333333,0.083333333,0.366666667,0.216666667
,,,,,,,
Valeri,280,2,0.040571429,0.041357143,0.160535714,0.130428571,0.326892857
,,,,,,,
Frida,1,0,0.33,0,0.33,0,0.33
,,,,,,,
Bunny,4,0,0.05,0,0,0.275,0.425
,,,,,,,
Ouida,16,0,0.0575,0.111875,0.196875,0.18125,0.38875
,,,,,,,
Conchita,369,1,0.03203252,0.10401084,0.181517615,0.163468835,0.285392954
,,,,,,,
Annetta,3,0,0,0.166666667,0.333333333,0.083333333,0.083333333
,,,,,,,
Paz,9,0,0.073333333,0.111111111,0.314444444,0.092222222,0.185555556
,,,,,,,
Sasha,1053,0,0.039401709,0.068091168,0.170408357,0.155735992,0.415887939
,,,,,,,
Magan,9,1,0.036666667,0.071111111,0.133333333,0.167777778,0.368888889
,,,,,,,
Shan,208,7,0.024375,0.063365385,0.153653846,0.115240385,0.296778846
,,,,,,,
Clemmie,865,2,0.045560694,0.069017341,0.164936416,0.146774566,0.322404624
,,,,,,,
Stacy,32,0,0.0771875,0.0365625,0.199375,0.1325,0.429375
,,,,,,,
Clark,7,0,0,0,0.142857143,0.285714286,0.142857143
,,,,,,,
Tajuana,14,0,0.004285714,0.022142857,0.182857143,0.022142857,0.196428571
,,,,,,,
Leana,109,0,0.02559633,0.061651376,0.311284404,0.065688073,0.315412844
,,,,,,,
Merrill,2,0,0,0,0.085,0.11,0.805
,,,,,,,
Justine,4,0,0.0625,0,0.625,0,0.0625
,,,,,,,
Jimmy,234,0,0.047991453,0.065683761,0.124786325,0.136709402,0.308205128
,,,,,,,
Alvina,85,0,0.060705882,0.074,0.188941176,0.106235294,0.404941176
,,,,,,,
Shanon,9,0,0,0.111111111,0.222222222,0.288888889,0.155555556
,,,,,,,
My,13,1,0.079230769,0.034615385,0.261538462,0.16,0.233076923
,,,,,,,
Hanna,8,0,0.03625,0.125,0.17,0.1825,0.485
,,,,,,,
Asha,7,0,0.031428571,0.048571429,0.372857143,0.311428571,0.232857143
,,,,,,,
Javier,63,2,0.013968254,0.035555556,0.24015873,0.150793651,0.289365079
,,,,,,,
Ashley,562,4,0.052348754,0.063398577,0.160035587,0.168594306,0.312935943
,,,,,,,
Marry,3,0,0,0,0.39,0,0.276666667
,,,,,,,
Hassan,27,3,0,0.061481481,0.163703704,0.163703704,0.092592593
,,,,,,,
Rocio,29,0,0.051724138,0.120689655,0.224137931,0.097586207,0.195517241
,,,,,,,
Maricruz,58,0,0.01,0.070517241,0.222413793,0.14637931,0.326034483
,,,,,,,
Nenita,344,4,0.022354651,0.069651163,0.178633721,0.154069767,0.38877907
,,,,,,,
Tommye,1,0,0,0,0.5,0.17,0.33
,,,,,,,
Ahmad,3,0,0,0,0,0.666666667,0
,,,,,,,
Malika,42,1,0.023809524,0.011904762,0.214047619,0.099047619,0.293571429
,,,,,,,
Carissa,29,0,0.006896552,0.082413793,0.234827586,0.207931034,0.192068966
,,,,,,,
Jerry,5,0,0.15,0,0.05,0.05,0.55
,,,,,,,
Stepanie,7,1,0,0.024285714,0.12,0.421428571,0.29
,,,,,,,
Tyree,1,0,0.11,0.11,0.11,0.33,0.33
,,,,,,,
Hiroko,1105,5,0.032914027,0.057348416,0.151864253,0.144959276,0.302180995
,,,,,,,
Candi,35,0,0.011428571,0.064285714,0.284571429,0.142857143,0.182285714
,,,,,,,
Kiera,69,0,0.024492754,0.04826087,0.149130435,0.127101449,0.419130435
,,,,,,,
Sau,47,0,0.001702128,0.089361702,0.180425532,0.136382979,0.230425532
,,,,,,,
Candra,64,0,0.04734375,0.06453125,0.15859375,0.14140625,0.27484375
,,,,,,,
Bethany,293,2,0.052525597,0.050955631,0.150341297,0.16334471,0.312866894
,,,,,,,
Cammie,77,2,0.021948052,0.071298701,0.223636364,0.144545455,0.329480519
,,,,,,,
Renetta,2,0,0,0,0.5,0.25,0.25
,,,,,,,
Hai,115,1,0.004347826,0.025130435,0.285217391,0.077217391,0.242782609
,,,,,,,
Chanda,1,0,0.33,0,0,0,0.67
,,,,,,,
Tracey,2,0,0,0,0.165,0.25,0.585
,,,,,,,
Chad,54,0,0.011851852,0.092407407,0.307407407,0.163888889,0.22037037
,,,,,,,
Leopoldo,29,0,0.046206897,0.061724138,0.182068966,0.171724138,0.330689655
,,,,,,,
Rosalind,5,0,0,0.066,0.2,0.316,0.216
,,,,,,,
Kathe,2,0,0,0,0.125,0,0.875
,,,,,,,
Letty,19,0,0.035789474,0.024736842,0.263684211,0.161578947,0.407894737
,,,,,,,
Fiona,4,0,0,0.0425,0.145,0.145,0.1675
,,,,,,,
Harvey,9,0,0,0.222222222,0.222222222,0.222222222,0
,,,,,,,
Vernia,8,0,0,0.10125,0.12,0.23,0.54625
,,,,,,,
Alejandrina,10,0,0,0,0,0,0
,,,,,,,
Malia,1,0,0,0,0,0,0
,,,,,,,
Shellie,12,0,0.020833333,0.083333333,0.135,0.158333333,0.3525
,,,,,,,
Linnea,8,0,0,0.06,0.085,0.26375,0.34125
,,,,,,,
Lucius,22,0,0.002727273,0.14,0.153181818,0.166363636,0.400454545
,,,,,,,
Lanelle,67,0,0.019850746,0.044328358,0.153432836,0.096119403,0.238358209
,,,,,,,
Mathilde,4,0,0,0,0.1325,0.05,0.3175
,,,,,,,
Rufus,3,0,0,0,0,0.11,0.223333333
,,,,,,,
Wendolyn,1,0,0,0,0,1,0
,,,,,,,
Jennifer,30,0,0.020333333,0.116666667,0.217666667,0.183333333,0.261333333
,,,,,,,
Marth,108,1,0.056851852,0.107314815,0.141481481,0.192407407,0.306666667
,,,,,,,
Bart,9,0,0,0,0.155555556,0.111111111,0.4
,,,,,,,
Nakita,2,0,0,0.25,0,0,0.75
,,,,,,,
Shyla,5,0,0.1,0.016,0.23,0.096,0.358
,,,,,,,
Jettie,156,4,0.018012821,0.051538462,0.159871795,0.123333333,0.300641026
,,,,,,,
Jacinta,11,0,0.018181818,0.108181818,0.101818182,0.309090909,0.463636364
,,,,,,,
Clint,14,0,0.025714286,0.124285714,0.232857143,0.161428571,0.385
,,,,,,,
Shanna,17,0,0.058823529,0.072941176,0.212941176,0.194117647,0.166470588
,,,,,,,
Librada,7,0,0.028571429,0,0.132857143,0.047142857,0.504285714
,,,,,,,
Kristie,2,0,0,0,0,0.5,0
,,,,,,,
Lizeth,2,0,0,0,0.5,0,0.5
,,,,,,,
Arturo,99,0,0.058888889,0.120606061,0.174040404,0.179090909,0.335656566
,,,,,,,
Kristy,11,0,0,0,0.306363636,0.056363636,0.272727273
,,,,,,,
Gianna,40,0,0,0.0125,0.2525,0.06875,0.29125
,,,,,,,
Violeta,19,0,0.056842105,0.052631579,0.122631579,0.144736842,0.096315789
,,,,,,,
Cathern,4,0,0.0975,0,0.1175,0.3025,0.2325
,,,,,,,
Maricela,10,0,0.014,0.125,0.187,0.134,0.44
,,,,,,,
Karoline,222,0,0.048063063,0.083378378,0.14954955,0.188153153,0.309279279
,,,,,,,
Linnie,8,0,0.105,0.0625,0.125,0.20875,0.49875
,,,,,,,
Allyson,2,0,0,0,0,0,1
,,,,,,,
Malka,7,0,0,0.227142857,0.084285714,0.31,0.381428571
,,,,,,,
Eliana,33,0,0.003939394,0.142121212,0.145757576,0.171818182,0.353636364
,,,,,,,
Dinah,1,0,0,0,0.25,0,0.75
,,,,,,,
Nikki,57,2,0.041754386,0.064210526,0.194035088,0.170877193,0.318070175
,,,,,,,
Claudine,305,9,0.046983607,0.07442623,0.18652459,0.141409836,0.307704918
,,,,,,,
Claudia,2,0,0,0.5,0,0,0
,,,,,,,
Gemma,32,0,0,0.1040625,0.1459375,0.1040625,0.3328125
,,,,,,,
Ardath,14,1,0.017857143,0.041428571,0.196428571,0.217142857,0.312142857
,,,,,,,
Leticia,1,0,0,0,0,0,0
,,,,,,,
Brittanie,7,0,0,0,0.238571429,0.142857143,0.19
,,,,,,,
Eula,1,0,0,0,0.33,0.33,0.33
,,,,,,,
Wilhelmina,15,0,0,0.096666667,0.311333333,0.05,0.341333333
,,,,,,,
Mica,212,3,0.058726415,0.048537736,0.180424528,0.120283019,0.289716981
,,,,,,,
Chester,271,1,0.028560886,0.059261993,0.167564576,0.13701107,0.289926199
,,,,,,,
Evelyn,3,0,0,0.25,0.333333333,0,0.083333333
,,,,,,,
Leonore,6,0,0,0,0.305,0.305,0.221666667
,,,,,,,
Kim,6,0,0,0.166666667,0.166666667,0.166666667,0
,,,,,,,
Lean,7,0,0,0.142857143,0.277142857,0.087142857,0.348571429
,,,,,,,
Demetrice,110,0,0.057545455,0.056181818,0.169454545,0.286181818,0.375090909
,,,,,,,
Whitney,1,0,0,0,0,0,0
,,,,,,,
Sallie,3,0,0.056666667,0.056666667,0.11,0,0.11
,,,,,,,
Jung,57,0,0.00877193,0.030701754,0.175964912,0.168596491,0.212280702
,,,,,,,
Kia,26,1,0,0.051153846,0.243461538,0.107692308,0.212692308
,,,,,,,
Keva,23,0,0,0.041304348,0.113478261,0.203478261,0.206086957
,,,,,,,
Yaeko,68,1,0.048676471,0.097647059,0.151911765,0.143382353,0.425294118
,,,,,,,
Lydia,12,0,0.048333333,0.041666667,0.18,0.194166667,0.200833333
,,,,,,,
Cherish,32,0,0.08125,0.055625,0.22625,0.2034375,0.27625
,,,,,,,
Nola,50,0,0.0176,0.0218,0.283,0.129,0.268
,,,,,,,
Ursula,27,0,0.06,0.052592593,0.26962963,0.178148148,0.329259259
,,,,,,,
Darcy,1,0,0,0,0.5,0,0.5
,,,,,,,
Emery,3,0,0.036666667,0.036666667,0,0.11,0.813333333
,,,,,,,
Erich,11,0,0.092727273,0.072727273,0.308181818,0.177272727,0.258181818
,,,,,,,
Karl,4,0,0,0,0.2925,0.3325,0.125
,,,,,,,
Janella,12,0,0.0425,0.150833333,0.111666667,0.238333333,0.455833333
,,,,,,,
Malena,47,1,0.074893617,0.04787234,0.135319149,0.129787234,0.419574468
,,,,,,,
Granville,56,0,0.062857143,0.066785714,0.190714286,0.087142857,0.305892857
,,,,,,,
Marla,12,0,0,0.034166667,0.1875,0.0925,0.600833333
,,,,,,,
Janessa,18,0,0.048888889,0,0.111111111,0.129444444,0.321666667
,,,,,,,
Nancee,5,0,0,0,0.15,0,0.25
,,,,,,,
Tiffani,1,0,0,0,0,0,0
,,,,,,,
Jamey,58,0,0.019827586,0.04637931,0.173103448,0.096206897,0.42362069
,,,,,,,
Yvette,1,0,0,0.1,0.2,0.1,0.6
,,,,,,,
Corey,20,0,0.04,0.0215,0.2155,0.186,0.3375
,,,,,,,
Rodrick,179,0,0.018603352,0.029497207,0.127486034,0.076480447,0.244916201
,,,,,,,
Clayton,109,0,0.028623853,0.049357798,0.160917431,0.105412844,0.251926606
,,,,,,,
Cathrine,26,0,0,0.057692308,0.189230769,0.08,0.134615385
,,,,,,,
Darlene,26,0,0.023461538,0.083461538,0.264615385,0.145384615,0.251923077
,,,,,,,
Jolanda,64,0,0.04671875,0.0278125,0.21875,0.179375,0.3084375
,,,,,,,
Karisa,1,0,0,0,0.75,0.25,0
,,,,,,,
Philip,67,0,0.010746269,0.035820896,0.25238806,0.141492537,0.349850746
,,,,,,,
Conrad,63,0,0.03952381,0.054444444,0.162380952,0.168412698,0.369047619
,,,,,,,
Fidelia,10,0,0.054,0.054,0.197,0.068,0.526
,,,,,,,
Olevia,25,0,0.02,0.0732,0.2732,0.1132,0.28
,,,,,,,
Briana,8,0,0.03125,0.28125,0.265,0.07875,0.21875
,,,,,,,
Sherman,41,0,0.040731707,0.033902439,0.203170732,0.18097561,0.370243902
,,,,,,,
Cher,1,0,0,0,0,0,1
,,,,,,,
Rosie,4,0,0.035,0,0.1,0.035,0.5775
,,,,,,,
Mozelle,14,0,0.012142857,0,0.119285714,0.06,0.309285714
,,,,,,,
Jordon,11,0,0,0.063636364,0.242727273,0.060909091,0.450909091
,,,,,,,
Landon,11,0,0,0.036363636,0.23,0.090909091,0.460909091
,,,,,,,
Rolando,11,0,0.058181818,0.090909091,0.136363636,0.256363636,0.276363636
,,,,,,,
Caridad,31,0,0.050322581,0.073548387,0.229032258,0.247419355,0.269032258
,,,,,,,
Carrol,32,0,0.0034375,0.03125,0.02875,0.2046875,0.325625
,,,,,,,
Rosina,5,0,0.034,0.15,0.066,0.2,0.35
,,,,,,,
Marc,42,0,0.017857143,0.035714286,0.130952381,0.216190476,0.265714286
,,,,,,,
Arla,1,0,0,0,1,0,0
,,,,,,,
Mariana,1,0,0,0,0,0,0
,,,,,,,
Luise,7,0,0.041428571,0.052857143,0.121428571,0.3,0.485714286
,,,,,,,
Adolfo,41,0,0.053658537,0.034878049,0.106829268,0.135609756,0.327073171
,,,,,,,
Shaniqua,11,0,0,0.063636364,0.321818182,0.049090909,0.291818182
,,,,,,,
Antionette,2,0,0,0,0.5,0,0
,,,,,,,
Felisa,8,0,0,0.04125,0.425,0,0.40875
,,,,,,,
Roxanne,12,0,0.104166667,0.083333333,0.0975,0.34,0.375
,,,,,,,
Franklyn,9,0,0.068888889,0.027777778,0.43,0.263333333,0.211111111
,,,,,,,
Jonas,334,4,0.037125749,0.038742515,0.174431138,0.175568862,0.349071856
,,,,,,,
Tuan,1,0,0,0,0,1,0
,,,,,,,
Brandie,4,0,0,0.0625,0.1625,0.1,0.175
,,,,,,,
Jackie,17,1,0.054117647,0.005294118,0.314117647,0.135294118,0.197647059
,,,,,,,
Marita,18,0,0,0.094444444,0.115,0.118333333,0.283333333
,,,,,,,
Billie,1,0,0.14,0.14,0.29,0.14,0.29
,,,,,,,
Bernita,24,0,0.042916667,0.072916667,0.124166667,0.145833333,0.530833333
,,,,,,,
Mercy,7,0,0,0,0.142857143,0,0.285714286
,,,,,,,
Lessie,5,0,0.02,0.164,0.302,0.132,0.38
,,,,,,,
Joye,1,0,0,0.33,0.33,0,0.33
,,,,,,,
Leonie,14,0,0.005714286,0.087857143,0.219285714,0.1,0.371428571
,,,,,,,
Ferne,1,0,0,1,0,0,0
,,,,,,,
Kylee,7,1,0,0,0.085714286,0.128571429,0.214285714
,,,,,,,
Carmelia,2,0,0,0.195,0.195,0.215,0.395
,,,,,,,
Lawanna,26,0,0.027307692,0.039615385,0.278461538,0.188846154,0.349615385
,,,,,,,
Vita,4,0,0.0825,0.0825,0.3325,0.25,0
,,,,,,,
Karen,31,1,0.016129032,0.026774194,0.049354839,0.300322581,0.413548387
,,,,,,,
Lynnette,2,0,0,0.165,0.665,0.165,0
,,,,,,,
Laveta,5,0,0,0,0.08,0.04,0.08
,,,,,,,
Rosa,5,0,0,0.1,0.2,0.2,0.3
,,,,,,,
Chanell,3,0,0.213333333,0.096666667,0.333333333,0,0.356666667
,,,,,,,
Jacquiline,10,0,0.02,0.034,0.128,0.133,0.384
,,,,,,,
Genesis,33,1,0.058787879,0.106060606,0.130909091,0.176060606,0.285454545
,,,,,,,
Winona,10,0,0,0.017,0.249,0.109,0.527
,,,,,,,
Nery,2,0,0,0,0.29,0.355,0.355
,,,,,,,
Alfonzo,1,0,0,0,0,0,1
,,,,,,,
Carlo,101,2,0.024356436,0.061683168,0.156930693,0.222772277,0.296138614
,,,,,,,
Lazaro,2,0,0,0.25,0,0,0.75
,,,,,,,
Adrianna,3,0,0.016666667,0.033333333,0.033333333,0.016666667,0.566666667
,,,,,,,
Earleen,5,0,0,0.15,0.1,0,0.55
,,,,,,,
Hyman,3,0,0,0.033333333,0.3,0.4,0.266666667
,,,,,,,
Gregg,21,0,0.040952381,0.130952381,0.171904762,0.125238095,0.290952381
,,,,,,,
Lourie,26,0,0.038461538,0.020769231,0.118076923,0.11,0.328461538
,,,,,,,
Lindsey,6,0,0,0,0.055,0.263333333,0.513333333
,,,,,,,
Kathryne,1,0,0,0,0,0.6,0.4
,,,,,,,
Chiquita,10,0,0.14,0.2,0.197,0.099,0.162
,,,,,,,
Marylou,1,0,0,0,0.2,0.6,0.2
,,,,,,,
Treena,1,0,0,0,0,0.5,0.5
,,,,,,,
Myron,1,0,0,0,0,0,1
,,,,,,,
